observation_id,field_id,filter,obstime,limmag,exposure_time
374,674,ztfr,2019-04-26T10:08:40.001270,21.50770,30
375,634,ztfr,2019-04-26T10:10:55.001262,21.09850,30
376,586,ztfr,2019-04-26T10:12:35.000639,21.14420,30
377,791,ztfr,2019-04-26T10:15:06.001912,21.18300,30
378,793,ztfr,2019-04-26T10:16:51.997434,21.46490,30
379,680,ztfr,2019-04-26T10:18:39.997452,21.49510,30
380,717,ztfr,2019-04-26T10:20:37.000318,21.29680,30
381,722,ztfr,2019-04-26T10:22:30.996481,21.85620,30
382,760,ztfr,2019-04-26T10:24:11.998065,21.78540,30
383,757,ztfr,2019-04-26T10:26:01.000331,21.69220,30
384,536,ztfr,2019-04-26T10:28:25.003211,21.59450,30
385,794,ztfr,2019-04-26T10:30:56.998082,21.81040,30
386,382,ztfr,2019-04-26T10:33:27.999355,21.09650,30
387,761,ztfr,2019-04-26T10:35:56.002575,21.92540,30
388,756,ztfr,2019-04-26T10:37:52.996791,21.48550,30
389,672,ztfr,2019-04-26T10:39:33.998415,21.18030,30
390,790,ztfr,2019-04-26T10:41:17.998093,21.31380,30
391,583,ztfr,2019-04-26T10:43:17.999051,21.73070,30
392,755,ztfr,2019-04-26T10:45:18.000010,21.19330,30
393,485,ztfr,2019-04-26T10:47:39.998395,21.48580,30
394,479,ztfr,2019-04-26T10:49:38.003508,21.22490,30
395,762,ztfr,2019-04-26T10:51:45.996497,21.57990,30
396,332,ztfr,2019-04-26T10:54:19.002225,20.81440,30
397,795,ztfr,2019-04-26T10:56:49.001291,21.38770,30
398,630,ztfr,2019-04-26T10:58:46.997754,20.65600,30
399,723,ztfr,2019-04-26T11:00:34.004174,21.64860,30
400,530,ztfr,2019-04-26T11:02:30.998390,20.75240,30
401,716,ztfr,2019-04-26T11:04:22.998708,20.74000,30
402,333,ztfr,2019-04-26T11:06:43.001288,20.24230,30
403,478,ztfr,2019-04-26T11:08:44.998091,21.28620,30
404,822,ztfr,2019-04-26T11:10:47.997102,21.43180,30
405,282,ztfr,2019-04-26T11:13:14.998075,20.50250,30
406,431,ztfr,2019-04-26T11:15:01.995845,21.34050,30
407,724,ztfr,2019-04-26T11:17:10.999692,21.28120,30
408,384,ztfr,2019-04-26T11:25:46.004140,20.83600,30
409,434,ztfr,2019-04-26T11:27:26.997115,20.85200,30
410,482,ztfr,2019-04-26T11:29:15.999340,21.38820,30
411,529,ztfr,2019-04-26T11:31:06.003853,20.65390,30
412,821,ztfr,2019-04-26T11:33:02.998069,21.22470,30
413,383,ztfr,2019-04-26T11:35:27.000949,21.09160,30
414,763,ztfr,2019-04-26T11:37:52.999674,21.46480,30
415,428,ztfr,2019-04-26T11:40:01.001273,21.15370,30
416,480,ztfr,2019-04-26T11:41:41.000650,20.96430,30
417,682,ztfr,2019-04-26T11:43:30.996473,21.49620,30
418,436,ztfr,2019-04-26T11:45:41.996165,21.13970,30
419,429,ztfr,2019-04-26T11:47:41.003526,21.07630,30
420,796,ztfr,2019-04-26T11:49:48.002877,21.49220,30
421,681,ztfr,2019-04-26T11:51:40.003195,21.25050,30
422,725,ztfr,2019-04-26T11:53:25.998717,21.26520,30
423,533,ztfr,2019-04-26T11:55:28.997768,21.38170,30
424,435,ztfr,2019-04-26T11:57:24.998387,21.05590,30
425,683,ztfr,2019-04-26T11:59:14.000652,21.48280,30
426,283,ztfr,2019-04-26T12:01:19.997756,20.22660,30
427,425,ztfi,2019-04-27T04:21:08.000633,19.40130,30
428,426,ztfi,2019-04-27T04:21:48.003835,19.51090,30
429,477,ztfi,2019-04-27T04:22:26.996140,19.52470,30
430,476,ztfi,2019-04-27T04:23:05.997136,19.92260,30
431,527,ztfi,2019-04-27T04:23:44.998091,20.39300,30
432,528,ztfi,2019-04-27T04:24:25.001294,19.92030,30
433,578,ztfi,2019-04-27T04:25:04.002249,20.20660,30
434,627,ztfi,2019-04-27T04:25:43.003204,20.37470,30
435,579,ztfi,2019-04-27T04:26:22.004160,20.16210,30
436,529,ztfi,2019-04-27T04:27:00.996465,19.54950,30
437,478,ztfi,2019-04-27T04:27:39.997420,19.39680,30
438,530,ztfi,2019-04-27T04:28:18.998415,19.74310,30
439,580,ztfi,2019-04-27T04:28:57.999371,19.85800,30
440,628,ztfi,2019-04-27T04:29:37.000326,19.97780,30
441,674,ztfi,2019-04-27T04:30:16.001281,20.19720,30
442,717,ztfg,2019-04-27T04:35:46.999687,21.24910,30
443,716,ztfg,2019-04-27T04:36:27.002890,21.06300,30
444,756,ztfg,2019-04-27T04:37:06.003845,21.19050,30
445,791,ztfg,2019-04-27T04:37:45.998398,21.04850,30
446,821,ztfg,2019-04-27T04:38:24.999353,20.93720,30
447,820,ztfg,2019-04-27T04:39:44.997109,21.11820,30
448,790,ztfg,2019-04-27T04:40:23.998064,21.12770,30
449,789,ztfg,2019-04-27T04:42:23.999022,21.23990,30
450,819,ztfg,2019-04-27T04:43:03.000018,21.06870,30
451,718,ztfg,2019-04-27T05:12:51.998401,20.93750,30
452,717,ztfg,2019-04-27T05:13:32.001604,20.95060,30
453,716,ztfg,2019-04-27T05:14:11.996157,20.64230,30
454,757,ztfg,2019-04-27T05:15:31.000315,20.80200,30
455,792,ztfg,2019-04-27T05:16:11.003518,20.73660,30
456,756,ztfg,2019-04-27T05:17:32.003521,20.89260,30
457,791,ztfg,2019-04-27T05:18:11.998073,20.65850,30
458,845,ztfg,2019-04-27T05:19:29.999984,20.83450,30
459,822,ztfg,2019-04-27T05:20:10.003187,21.01230,30
460,821,ztfg,2019-04-27T05:21:27.996487,20.94960,30
461,820,ztfg,2019-04-27T05:22:48.002893,20.96510,30
462,790,ztfg,2019-04-27T05:25:26.996157,20.78100,30
463,819,ztfg,2019-04-27T05:27:29.001610,20.74670,30
464,789,ztfg,2019-04-27T05:28:50.001613,21.13640,30
465,719,ztfg,2019-04-27T05:43:35.999021,20.97650,30
466,717,ztfg,2019-04-27T05:44:56.999024,21.06880,30
467,718,ztfg,2019-04-27T05:45:37.002227,21.19930,30
468,419,ztfg,2019-04-27T05:57:13.999693,21.99930,30
469,420,ztfg,2019-04-27T06:02:23.000633,22.18910,30
470,470,ztfg,2019-04-27T06:12:44.000644,22.22030,30
471,676,ztfr,2019-04-27T06:43:32.001604,21.23190,30
472,719,ztfr,2019-04-27T06:44:11.996157,21.11080,30
473,718,ztfr,2019-04-27T06:44:51.999359,21.17540,30
474,758,ztfr,2019-04-27T06:45:31.000315,21.36790,30
475,419,ztfr,2019-04-27T06:57:23.999022,21.98060,30
476,420,ztfr,2019-04-27T07:02:33.000002,21.95760,30
477,470,ztfr,2019-04-27T07:12:54.000013,21.76040,30
478,716,ztfr,2019-04-27T07:23:44.998091,21.10520,30
479,717,ztfr,2019-04-27T07:24:25.001294,20.98680,30
480,756,ztfr,2019-04-27T07:25:04.995847,21.16980,30
481,790,ztfr,2019-04-27T07:25:43.996802,20.95860,30
482,789,ztfr,2019-04-27T07:26:25.002252,20.94600,30
483,820,ztfr,2019-04-27T07:27:58.996794,21.00850,30
484,821,ztfr,2019-04-27T07:29:19.003200,21.09650,30
485,791,ztfr,2019-04-27T07:29:58.004155,21.19900,30
486,757,ztfr,2019-04-27T07:30:36.996460,21.14270,30
487,850,ztfr,2019-04-27T07:31:52.000318,21.75370,30
488,866,ztfr,2019-04-27T07:37:01.001297,21.72570,30
489,828,ztfr,2019-04-27T07:42:13.000329,21.90420,30
490,828,ztfg,2019-04-27T07:50:56.999056,21.86700,30
491,420,ztfg,2019-04-27T07:54:55.998725,21.70160,30
492,850,ztfg,2019-04-27T08:02:06.996468,21.89400,30
493,800,ztfg,2019-04-27T08:05:19.003192,21.74960,30
494,728,ztfg,2019-04-27T08:08:29.999058,21.25790,30
495,866,ztfg,2019-04-27T08:11:49.997772,22.03530,30
496,470,ztfg,2019-04-27T08:15:51.001936,21.56090,30
497,767,ztfg,2019-04-27T08:19:52.999698,21.86090,30
498,686,ztfg,2019-04-27T08:23:04.997772,21.65170,30
499,639,ztfg,2019-04-27T08:26:13.997752,21.57860,30
500,729,ztfg,2019-04-27T08:32:49.001283,21.82160,30
501,640,ztfg,2019-04-27T08:39:16.997770,21.54920,30
502,768,ztfg,2019-04-27T08:46:04.995839,21.72570,30
503,687,ztfg,2019-04-27T08:49:17.002562,21.69970,30
504,540,ztfg,2019-04-27T08:52:31.998729,21.76870,30
505,730,ztfg,2019-04-27T08:55:59.998083,21.57300,30
506,592,ztfg,2019-04-27T08:59:14.000652,21.72290,30
507,541,ztfg,2019-04-27T09:02:23.000633,21.59090,30
508,489,ztfg,2019-04-27T09:05:32.000653,21.41360,30
509,641,ztfg,2019-04-27T09:08:46.996820,21.58620,30
510,867,ztfg,2019-04-27T09:12:11.998082,21.70750,30
511,633,ztfg,2019-04-27T09:26:19.003184,21.37070,30
512,634,ztfg,2019-04-27T09:26:58.004179,21.37520,30
513,680,ztfg,2019-04-27T09:28:19.997780,21.37510,30
514,679,ztfg,2019-04-27T09:29:00.000942,21.40680,30
515,681,ztfg,2019-04-27T09:30:18.996491,21.30180,30
516,633,ztfg,2019-04-27T09:32:49.004166,21.47820,30
517,634,ztfg,2019-04-27T09:34:12.000014,21.34120,30
518,587,ztfg,2019-04-27T09:34:53.999022,21.15860,30
519,635,ztfg,2019-04-27T09:36:14.999025,21.27630,30
520,681,ztfg,2019-04-27T09:36:53.999981,21.32080,30
521,680,ztfg,2019-04-27T09:37:34.003184,21.40420,30
522,682,ztfg,2019-04-27T09:38:52.998732,21.24430,30
523,683,ztfg,2019-04-27T09:39:33.001935,20.63000,30
524,684,ztfg,2019-04-27T09:40:12.996487,21.11390,30
525,726,ztfg,2019-04-27T09:40:51.997443,21.30080,30
526,725,ztfg,2019-04-27T09:41:32.000645,21.31990,30
527,724,ztfg,2019-04-27T09:42:12.003848,21.28990,30
528,764,ztfg,2019-04-27T09:42:54.002896,21.10980,30
529,765,ztfg,2019-04-27T09:43:34.999697,20.83020,30
530,766,ztfg,2019-04-27T09:44:15.996497,21.00870,30
531,798,ztfg,2019-04-27T09:44:58.004155,21.15290,30
532,640,ztfr,2019-04-27T09:48:30.003850,21.70220,30
533,729,ztfr,2019-04-27T09:51:40.999676,21.54730,30
