,Unnamed: 0,nightdate,jd,field,rcid,ra0,dec0,nalertpackets,programid,expid,fid,scimaglim,diffmaglim,sciinpseeing,difffwhm,exptime,status,exitcode
108,742673, 2019-04-25 ,2458598.8465162003,1,55,193.9278341771,57.35051251539001,9,2,84434651,2,21.6,20.5561,1.4352,2.28953,30,1,0
109,742674, 2019-04-25 ,2458598.8465162003,1,46,185.7509989891,55.33744698790999,2,2,84434651,2,21.41,20.4093,1.6979,2.26456,30,1,0
110,742675, 2019-04-25 ,2458598.8465162003,1,47,187.2677592974,55.398906672790005,6,2,84434651,2,21.52,20.5492,1.606,2.27013,30,1,0
111,742676, 2019-04-25 ,2458598.8465162003,1,9,189.1723451527,52.4826649481,3,2,84434651,2,21.58,20.4768,1.4702,2.25618,30,1,0
112,742677, 2019-04-25 ,2458598.8465162003,1,51,197.3604486916,57.23713289653001,8,2,84434651,2,21.42,20.6848,1.5274,2.47254,30,1,0
113,742678, 2019-04-25 ,2458598.8465162003,1,7,193.5877892671,51.6128931894,3,2,84434651,2,21.55,20.4804,1.5656,2.33053,30,1,0
114,742679, 2019-04-25 ,2458598.8465162003,1,41,188.9622461632,56.31015847405,2,2,84434651,2,21.54,20.5812,1.6224,2.18797,30,1,0
115,742680, 2019-04-25 ,2458598.8465162003,1,42,189.0154592962,55.44438160292,2,2,84434651,2,21.52,20.4496,1.5830000000000002,2.27291,30,1,0
116,742681, 2019-04-25 ,2458598.8465162003,1,36,193.8550934549,56.30728689389,3,2,84434651,2,21.46,20.7151,1.5028,2.24777,30,1,0
117,742682, 2019-04-25 ,2458598.8465162003,1,56,190.4747704314,58.24334962332,2,2,84434651,2,21.5,20.4813,1.5889,2.29779,30,1,0
118,742683, 2019-04-25 ,2458598.8465162003,1,57,188.8342266921,58.21976735713,3,2,84434651,2,21.42,20.4804,1.6533,2.25338,30,1,0
119,742684, 2019-04-25 ,2458598.8465162003,1,28,187.3626003789,54.35088512330999,1,2,84434651,2,21.53,20.566,1.5794,2.29779,30,1,0
120,742685, 2019-04-25 ,2458598.8465162003,1,33,195.6450383748,56.25596361344,9,2,84434651,2,21.48,20.5257,1.6488,2.33865,30,1,0
121,742686, 2019-04-25 ,2458598.8465162003,1,48,197.5045097473,58.09989844846,12,2,84434651,2,21.38,20.4625,1.5992,2.45717,30,1,0
122,742687, 2019-04-25 ,2458598.8465162003,1,34,195.5519235014,55.39125724441,3,2,84434651,2,21.52,20.4286,1.8295,2.34674,30,1,0
123,742688, 2019-04-25 ,2458598.8465162003,1,24,190.5551054954,54.41558235037,6,2,84434651,2,21.6,20.5457,1.5384,2.32511,30,1,0
124,742689, 2019-04-25 ,2458598.8465162003,1,21,192.2528553437,54.41097461908,7,2,84434651,2,21.54,20.5344,1.526,2.32511,30,1,0
125,742690, 2019-04-25 ,2458598.8465162003,1,54,192.3263263145,57.37480278628,6,2,84434651,2,21.58,20.4351,1.4301,2.27569,30,1,0
126,742691, 2019-04-25 ,2458598.8465162003,1,11,190.6038764204,51.63273032357,2,2,84434651,2,21.62,20.4721,1.618,2.32511,30,1,0
127,742692, 2019-04-25 ,2458598.8465162003,1,53,192.3532425085,58.24107921745999,6,2,84434651,2,21.54,20.4557,1.4751,2.30602,30,1,0
128,742693, 2019-04-25 ,2458598.8469676003,1,41,192.8919693103,49.11580327631,2,2,84434696,2,21.55,20.5642,1.7154,2.26735,30,1,0
129,742694, 2019-04-25 ,2458598.8469676003,1,19,199.6152531858,46.25267061193,7,2,84434696,2,21.58,20.7358,1.6523,2.38412,30,1,0
130,742695, 2019-04-25 ,2458598.8469676003,1,55,197.0860851995,50.1566229847,7,2,84434696,2,21.67,20.6337,1.4369999999999998,2.33324,30,1,0
131,742696, 2019-04-25 ,2458598.8469676003,1,39,197.0023178173,48.24708300109,3,2,84434696,2,21.62,20.7315,1.6638,2.18508,30,1,0
132,742697, 2019-04-25 ,2458598.8469676003,1,17,198.4235381459,47.1635504551,3,2,84434696,2,21.62,20.6477,1.6852,2.32511,30,1,0
133,742698, 2019-04-25 ,2458598.8469676003,1,7,196.8595976261,44.41772394954,6,2,84434696,2,21.57,20.5197,1.59,2.35211,30,1,0
134,742699, 2019-04-25 ,2458598.8469676003,1,35,199.7895410926,48.16056022519,8,2,84434696,2,21.61,20.5898,1.5857,2.33595,30,1,0
135,742700, 2019-04-25 ,2458598.8469676003,1,6,195.6499960499,44.432495649470006,10,2,84434696,2,21.59,20.4742,1.531,2.36016,30,1,0
136,742701, 2019-04-25 ,2458598.8469676003,1,54,195.7375305926,50.17582653353,9,2,84434696,2,21.65,20.6088,1.4238,2.31967,30,1,0
137,742702, 2019-04-25 ,2458598.8469676003,1,52,197.1292317244,51.02256469569,6,2,84434696,2,21.56,20.5632,1.6447,2.30875,30,1,0
138,742703, 2019-04-25 ,2458598.8469676003,1,31,191.5546961432,46.30094685679,2,2,84434696,2,21.45,20.5332,1.9182,2.35211,30,1,0
139,742704, 2019-04-25 ,2458598.8469676003,1,62,189.9550549163,50.07526316217,2,2,84434696,2,21.28,20.4116,1.917,2.34943,30,1,0
140,742705, 2019-04-25 ,2458598.8469676003,1,5,195.6616885619,45.29879625491,7,2,84434696,2,21.58,20.6078,1.5619999999999998,2.33865,30,1,0
141,742706, 2019-04-25 ,2458598.8469676003,1,25,192.9620593524,47.20052007451,0,2,84434696,2,21.52,20.4597,1.8716,2.50048,30,0,44
142,742707, 2019-04-25 ,2458598.8469676003,1,51,199.9804773925,50.07016650136,17,2,84434696,2,21.5,20.5459,1.5442,2.34405,30,1,0
143,742708, 2019-04-25 ,2458598.8469676003,1,42,192.9266478662,48.24976229682,5,2,84434696,2,21.52,20.6391,1.6819,2.3548,30,1,0
144,742709, 2019-04-25 ,2458598.8469676003,1,34,198.4953283178,48.20765490219,6,2,84434696,2,21.67,20.6005,1.5436,2.42613,30,1,0
145,742710, 2019-04-25 ,2458598.8469676003,1,0,199.522621114,45.20829381586,2,2,84434696,2,21.45,20.5232,1.7121,2.24496,30,1,0
146,742711, 2019-04-25 ,2458598.8469676003,1,20,196.9601755801,47.19610192597,5,2,84434696,2,21.6,20.5871,1.7342,2.35211,30,1,0
147,742712, 2019-04-25 ,2458598.8469676003,1,18,198.3666930634,46.298147897540005,8,2,84434696,2,21.54,20.7218,1.6431,2.34674,30,1,0
148,742713, 2019-04-25 ,2458598.8469676003,1,11,194.2657568383,44.43350116689,0,2,84434696,2,21.6,20.5973,1.4746,2.24214,30,0,44
149,742714, 2019-04-25 ,2458598.8469676003,1,29,190.2289738925,47.11977655951,0,2,84434696,2,21.29,20.3524,2.0499,2.4802,30,0,44
150,742715, 2019-04-25 ,2458598.8469676003,1,47,191.4370607503,48.21493780591,2,2,84434696,2,21.43,20.5243,2.0014,2.38676,30,1,0
151,742716, 2019-04-25 ,2458598.8469676003,1,58,192.8507987323,50.15992483014,1,2,84434696,2,21.51,20.5153,1.5805,2.29504,30,1,0
152,742717, 2019-04-25 ,2458598.8469676003,1,21,195.6884216993,47.21184011316,0,2,84434696,2,21.58,20.6047,1.7204,2.31967,30,1,56
153,742718, 2019-04-25 ,2458598.8469676003,1,44,191.3748479978,49.08017543285,0,2,84434696,2,21.45,20.5803,1.9231,2.30328,30,1,56
154,742719, 2019-04-25 ,2458598.8469676003,1,36,197.0381398575,49.11316168538,0,2,84434696,2,21.62,20.7064,1.508,2.17349,30,0,44
155,742720, 2019-04-25 ,2458598.8469676003,1,22,195.6758210811,46.345563821990005,7,2,84434696,2,21.61,20.5559,1.6191,2.43652,30,1,0
156,742721, 2019-04-25 ,2458598.8469676003,1,12,191.6179194046,45.25471685266,0,2,84434696,2,21.46,20.4562,1.7871,2.3708400000000003,30,0,44
157,742722, 2019-04-25 ,2458598.8469676003,1,26,192.9953448104,46.33453315939,4,2,84434696,2,21.48,20.6181,1.8813,2.28676,30,1,0
